iter	Passed	Remaining
0	414	413608
1	486	242876
2	532	177121
3	579	144409
4	628	124999
5	698	115636
6	751	106603
7	823	102055
8	874	96275
9	931	92234
10	971	87358
11	1021	84097
12	1078	81904
13	1126	79345
14	1167	76682
15	1197	73633
16	1237	71581
17	1281	69892
18	1319	68144
19	1378	67522
20	1442	67259
21	1512	67253
22	1579	67083
23	1635	66494
24	1692	66005
25	1747	65451
26	1804	65034
27	1862	64656
28	1920	64320
29	1977	63924
30	2033	63554
31	2091	63277
32	2123	62217
33	2176	61848
34	2227	61413
35	2278	61026
36	2310	60135
37	2365	59879
38	2421	59674
39	2475	59418
40	2540	59432
41	2598	59260
42	2651	59021
43	2705	58779
44	2758	58542
45	2816	58402
46	2867	58148
47	2923	57990
48	2978	57809
49	3034	57655
50	3094	57582
51	3148	57392
52	3201	57199
53	3258	57084
54	3309	56865
55	3370	56809
56	3426	56690
57	3481	56543
58	3534	56377
59	3579	56074
60	3645	56122
61	3707	56092
62	3770	56085
63	3817	55830
64	3860	55536
65	3906	55278
66	3958	55129
67	3999	54819
68	4043	54562
69	4087	54308
70	4134	54093
71	4196	54087
72	4247	53939
73	4282	53593
74	4333	53448
75	4385	53320
76	4435	53171
77	4473	52881
78	4535	52875
79	4591	52804
80	4654	52804
81	4716	52803
82	4770	52705
83	4825	52620
84	4876	52495
85	4924	52339
86	4977	52231
87	5035	52182
88	5083	52033
89	5135	51921
90	5183	51778
91	5229	51610
92	5278	51475
93	5327	51346
94	5374	51195
95	5418	51025
96	5462	50848
97	5516	50770
98	5564	50644
99	5612	50514
100	5660	50386
101	5706	50239
102	5756	50129
103	5804	50011
104	5851	49873
105	5899	49753
106	5946	49625
107	5993	49500
108	6043	49401
109	6091	49286
110	6155	49298
111	6209	49228
112	6268	49204
113	6326	49172
114	6379	49097
115	6434	49034
116	6484	48940
117	6537	48861
118	6604	48893
119	6651	48780
120	6699	48667
121	6752	48594
122	6800	48491
123	6847	48371
124	6896	48277
125	6955	48246
126	7015	48221
127	7100	48374
128	7150	48281
129	7196	48158
130	7240	48031
131	7291	47950
132	7341	47856
133	7392	47773
134	7440	47675
135	7483	47539
136	7524	47399
137	7567	47268
138	7631	47270
