iter	Logloss
0	0.6105590409
1	0.5568485815
2	0.521577537
3	0.498427691
4	0.4814050211
5	0.4697148299
6	0.4611796827
7	0.4555131566
8	0.4502153799
9	0.4471487328
10	0.4445061169
11	0.4416005322
12	0.4392503763
13	0.4378396093
14	0.4363227296
15	0.4353467282
16	0.4344717955
17	0.4333522585
18	0.4324030008
19	0.4317428889
20	0.431166877
21	0.4307414602
22	0.4301521792
23	0.4296903293
24	0.4290991421
25	0.4288220652
26	0.4284850535
27	0.4280856835
28	0.4277920025
29	0.4276417157
30	0.427290938
31	0.4270734394
32	0.4268394112
33	0.4266711794
34	0.4264514542
35	0.4261562665
36	0.426001776
37	0.4258796825
38	0.4257609142
39	0.4256492879
40	0.4253565929
41	0.4252652411
42	0.425121834
43	0.4249771253
44	0.4248878639
45	0.4246630063
46	0.4245822608
47	0.4244696474
48	0.4243106469
49	0.4242365757
50	0.4241221673
51	0.4240506337
52	0.4239529467
53	0.4238433068
54	0.423792899
55	0.4236114416
56	0.42347743
57	0.4233700276
58	0.42331032
59	0.4232703641
60	0.4231096873
61	0.4229695618
62	0.4229145628
63	0.4228326118
64	0.4228008684
65	0.4227645295
66	0.4227337965
67	0.4226924449
68	0.4226153893
69	0.4225481983
70	0.4224579685
71	0.4224037568
72	0.4223498099
73	0.4223023218
74	0.4222594494
75	0.4221309351
76	0.4221018167
77	0.4220698023
78	0.4220075254
79	0.421942891
80	0.4218939564
81	0.4218514445
82	0.4218297758
83	0.4217606713
84	0.4217246966
85	0.4216734884
86	0.4216534683
87	0.4215997805
88	0.4215179801
89	0.4214871822
90	0.4214400228
91	0.4214001442
92	0.421327972
93	0.4212879519
94	0.4212344837
95	0.4212126663
96	0.4211467614
97	0.4211059793
98	0.4210822417
99	0.4210357935
100	0.4210109574
101	0.4209726831
102	0.4209551882
103	0.4208991199
104	0.4208690228
105	0.420824781
106	0.4208039376
107	0.4207196461
108	0.4206974345
109	0.420665641
110	0.4205992814
111	0.420554149
112	0.4204881511
113	0.4204400342
114	0.420373411
115	0.4203446042
116	0.4203137792
117	0.4202905178
118	0.4202509139
119	0.4202000726
120	0.4201547005
121	0.4201180002
122	0.4200446423
123	0.4200007094
124	0.4199738179
125	0.4198999499
126	0.4198724007
127	0.4198257915
128	0.4197919318
129	0.4197563734
130	0.4197175175
131	0.4196661798
132	0.4196309755
133	0.4195819712
134	0.4195371632
135	0.4195116232
136	0.4194728351
137	0.4194287813
138	0.4193779697
139	0.4193403582
140	0.4193125268
141	0.4192832399
142	0.4192363957
143	0.4191731858
144	0.4191373926
145	0.4191012863
146	0.4190630807
147	0.4190161936
148	0.4189584537
149	0.4189179807
150	0.4188784746
151	0.4188386032
152	0.4187947766
153	0.4187675206
154	0.4187373984
155	0.4187019185
156	0.4186688416
157	0.4186273691
158	0.4185825348
159	0.418541536
160	0.4185101024
161	0.4184758718
162	0.4184380694
163	0.4184117549
164	0.4183710225
165	0.4183371533
166	0.418301494
167	0.4182740419
168	0.4182450355
169	0.4182162629
170	0.4181994346
171	0.4181733217
172	0.4181447279
173	0.4181123162
174	0.418091184
175	0.4180583789
176	0.4180270624
177	0.4179966006
178	0.4179655642
179	0.417932395
180	0.4179055993
181	0.4178802283
182	0.4178541007
183	0.4178299654
184	0.4177875483
185	0.4177353453
186	0.4176953783
187	0.4176538112
188	0.417624408
189	0.4175843076
190	0.4175537007
191	0.417518476
192	0.4174720069
193	0.4174451133
194	0.4174175909
195	0.4173689905
196	0.4173469674
197	0.4173163191
198	0.4172867996
199	0.4172635903
200	0.4172320883
201	0.4171975033
202	0.4171669571
203	0.417135746
204	0.4171079084
205	0.4170864548
206	0.417073614
207	0.41704516
208	0.4170226433
209	0.4169870722
210	0.416959328
211	0.4169262534
212	0.4169146335
213	0.4168906873
214	0.4168629092
215	0.4168349674
216	0.4168231193
217	0.4167986933
218	0.4167702424
219	0.4167370919
220	0.4167032811
221	0.4166730255
222	0.4166343608
223	0.4166017605
224	0.4165751656
225	0.4165476703
226	0.4165176787
227	0.4164945126
228	0.4164605836
229	0.416433241
230	0.4164080165
231	0.4163912309
232	0.4163691575
233	0.416346853
234	0.416313793
235	0.416303053
236	0.4162837054
237	0.4162656914
238	0.4162511027
239	0.4162423419
240	0.4162055944
241	0.4161796592
242	0.4161425533
243	0.4161205942
244	0.4161027617
245	0.4160792276
246	0.4160543764
247	0.416026989
248	0.4160101122
249	0.4159868455
250	0.415965105
251	0.4159341931
252	0.4159233725
253	0.4158961742
254	0.4158641379
255	0.4158422062
256	0.4158272572
257	0.4157949196
258	0.4157783498
259	0.4157490685
260	0.4157258858
261	0.415704592
262	0.4156745078
263	0.4156521777
264	0.4156201477
265	0.4156019572
266	0.41557738
267	0.4155533191
268	0.4155434442
269	0.4155127966
270	0.4154885189
271	0.4154674437
272	0.4154508836
273	0.415429882
274	0.4153984019
275	0.4153726774
276	0.415354263
277	0.4153363657
278	0.4153198252
279	0.4153003472
280	0.4152830997
281	0.4152546693
282	0.4152345088
283	0.4152274612
284	0.4152094885
285	0.4151818308
286	0.4151711687
287	0.4151443096
288	0.4151325865
289	0.4151048166
290	0.4150829432
291	0.4150539949
292	0.4150399596
293	0.4150128703
294	0.4149800031
295	0.41495401
296	0.4149240149
297	0.4149054631
298	0.4148892014
299	0.4148600638
300	0.4148377113
301	0.4148122679
302	0.4147955747
303	0.4147749727
304	0.4147620011
305	0.414739103
306	0.4147184537
307	0.4146965577
308	0.4146756481
309	0.4146520473
310	0.4146297671
311	0.414608195
312	0.4145941667
313	0.4145681553
314	0.4145506657
315	0.4145260626
316	0.4144987051
317	0.414473113
318	0.414445036
319	0.4144202955
320	0.4143991207
321	0.4143734338
322	0.414349056
323	0.41432696
324	0.4143049169
325	0.4142825749
326	0.4142706596
327	0.4142549592
328	0.4142373355
329	0.4142165778
330	0.4141913998
331	0.4141673094
332	0.4141499607
333	0.4141381321
334	0.4141092711
335	0.4140874916
336	0.41405099
337	0.4140272587
338	0.414010151
339	0.4139864157
340	0.4139610166
341	0.41394159
342	0.4139182827
343	0.4139007902
344	0.4138796144
345	0.4138691435
346	0.4138488344
347	0.4138397265
348	0.4138145117
349	0.4137945832
350	0.4137744357
351	0.4137534566
352	0.4137383601
353	0.4137102342
354	0.4136836477
355	0.4136609279
356	0.4136450747
357	0.4136294064
358	0.4136214535
359	0.4136023752
360	0.4135723182
361	0.4135557498
362	0.4135295147
363	0.4135135037
364	0.4135030103
