iter	Passed	Remaining
0	342	341776
1	379	189539
2	415	138069
3	491	122446
4	527	104929
5	567	94007
6	607	86165
7	645	79992
8	695	76624
9	750	74320
10	811	72985
11	860	70830
12	902	68543
13	940	66264
14	977	64215
15	1012	62261
16	1054	60984
17	1095	59750
18	1159	59855
19	1197	58694
20	1240	57812
21	1278	56835
22	1311	55716
23	1345	54727
24	1381	53895
25	1417	53095
26	1457	52523
27	1492	51801
28	1529	51207
29	1565	50628
30	1599	49992
31	1633	49425
32	1670	48948
33	1707	48525
34	1743	48077
35	1840	49275
36	1889	49184
37	1923	48705
38	1959	48290
39	2014	48352
40	2050	47961
41	2087	47617
42	2122	47235
43	2156	46851
44	2193	46556
45	2230	46248
46	2264	45909
47	2299	45609
48	2335	45324
49	2369	45024
50	2404	44750
51	2442	44521
52	2473	44198
53	2508	43944
54	2539	43641
55	2570	43337
56	2607	43137
57	2642	42910
58	2676	42680
59	2712	42501
60	2753	42388
61	2789	42205
62	2825	42024
63	2861	41845
64	2895	41651
65	2929	41463
66	2965	41295
67	2999	41106
68	3036	40968
69	3071	40810
70	3104	40624
71	3139	40463
72	3170	40256
73	3206	40120
74	3240	39963
75	3277	39851
76	3339	40033
77	3392	40100
78	3442	40132
79	3507	40338
80	3565	40457
81	3609	40409
82	3647	40296
83	3687	40215
84	3733	40189
85	3773	40108
86	3869	40608
87	3914	40564
88	3952	40460
89	3994	40386
90	4035	40309
91	4091	40379
92	4135	40330
93	4168	40181
94	4204	40056
95	4238	39915
96	4274	39795
97	4308	39654
98	4341	39511
99	4378	39407
100	4413	39287
101	4446	39151
102	4481	39031
103	4516	38908
104	4551	38794
105	4588	38701
106	4621	38571
107	4656	38462
108	4693	38362
109	4726	38241
110	4818	38593
111	4879	38684
112	4915	38587
113	4950	38473
114	4986	38370
115	5019	38253
116	5052	38129
117	5087	38029
118	5122	37926
119	5158	37831
120	5196	37751
121	5234	37670
122	5272	37590
123	5310	37519
124	5357	37499
125	5425	37634
126	5467	37585
127	5502	37489
128	5588	37734
129	5655	37848
130	5705	37850
131	5742	37759
132	5799	37803
133	5868	37926
134	5928	37984
135	5980	37996
136	6023	37944
137	6061	37861
138	6097	37767
139	6132	37670
140	6168	37576
141	6202	37477
142	6240	37400
143	6280	37335
144	6317	37249
145	6352	37158
146	6392	37096
147	6452	37145
148	6518	37228
149	6583	37304
150	6651	37397
151	6697	37365
152	6744	37335
153	6794	37326
154	6846	37321
155	6897	37315
156	6940	37266
157	6982	37210
158	7021	37137
159	7065	37094
160	7109	37049
161	7153	37005
162	7196	36956
163	7241	36913
164	7286	36876
165	7328	36817
166	7388	36852
167	7470	36998
168	7551	37133
169	7605	37130
170	7659	37131
171	7707	37104
172	7754	37069
173	7791	36985
174	7831	36918
175	7876	36876
176	7940	36920
177	8014	37011
178	8080	37060
179	8140	37082
180	8209	37147
181	8284	37236
182	8348	37269
183	8408	37288
184	8479	37354
185	8545	37399
186	8616	37463
187	8679	37489
188	8719	37416
189	8766	37373
190	8810	37318
191	8856	37270
192	8902	37224
193	8934	37117
194	8979	37070
195	9027	37029
196	9069	36969
197	9121	36946
198	9170	36912
199	9213	36853
200	9275	36872
201	9321	36824
202	9388	36862
203	9438	36829
204	9498	36836
205	9674	37288
206	9715	37218
207	9767	37191
208	9813	37141
209	9853	37067
210	9896	37008
211	9945	36968
212	9988	36905
213	10032	36850
214	10097	36867
215	10170	36913
216	10231	36918
217	10281	36881
218	10341	36880
219	10400	36873
220	10480	36941
221	10540	36939
222	10603	36944
223	10665	36948
224	10712	36898
225	10763	36861
226	10816	36834
227	10911	36946
228	11004	37049
229	11097	37153
230	11195	37270
231	11255	37260
232	11351	37366
233	11450	37483
234	11539	37563
235	11624	37632
236	11679	37601
237	11733	37565
238	11788	37534
239	11864	37570
240	11928	37568
241	11980	37526
242	12035	37493
243	12085	37445
244	12129	37379
245	12179	37329
246	12226	37273
247	12276	37224
248	12320	37160
249	12370	37111
250	12415	37047
251	12455	36970
252	12500	36909
253	12544	36842
254	12642	36936
255	12705	36924
256	12755	36877
257	12800	36812
258	12856	36783
259	12900	36717
260	12950	36668
261	12995	36604
262	13033	36523
263	13071	36440
264	13111	36364
265	13149	36285
266	13188	36207
267	13313	36363
268	13375	36347
269	13413	36265
270	13459	36207
271	13501	36136
272	13610	36246
273	13650	36169
274	13693	36100
275	13733	36025
276	13781	35970
277	13821	35896
278	13864	35829
279	13906	35759
280	13947	35687
281	13988	35615
282	14124	35786
283	14182	35756
284	14224	35685
285	14265	35612
286	14311	35553
287	14354	35487
288	14497	35665
289	14541	35602
290	14581	35527
291	14628	35468
292	14663	35382
293	14696	35291
294	14736	35218
295	14782	35157
296	14824	35090
297	14870	35029
298	14917	34973
299	14957	34899
300	14991	34814
301	15035	34751
302	15074	34677
303	15119	34615
304	15164	34554
305	15205	34484
306	15333	34611
307	15389	34576
308	15436	34518
309	15477	34449
310	15516	34375
311	15560	34313
312	15597	34234
313	15640	34169
314	15689	34118
315	15735	34060
316	15786	34013
317	15834	33960
318	15878	33897
319	15923	33837
320	15964	33770
321	16009	33708
322	16096	33738
323	16136	33667
324	16174	33592
325	16212	33519
326	16254	33453
327	16295	33386
328	16335	33315
329	16375	33247
330	16418	33183
331	16467	33132
332	16506	33063
333	16550	33001
334	16599	32950
335	16635	32874
336	16674	32804
337	16718	32745
338	16756	32673
339	16795	32603
340	16834	32533
341	16872	32461
342	16911	32393
343	16950	32323
344	16988	32253
345	17028	32185
346	17067	32118
347	17107	32052
348	17144	31979
349	17180	31906
350	17217	31834
351	17254	31763
352	17296	31702
353	17404	31760
354	17459	31721
355	17499	31657
356	17540	31592
357	17576	31520
358	17618	31458
359	17654	31386
360	17692	31316
361	17732	31252
362	17768	31179
363	17805	31110
364	17850	31055
365	17891	30992
366	17929	30924
367	17967	30857
368	18005	30789
369	18048	30731
370	18083	30659
371	18120	30590
372	18160	30527
373	18195	30455
374	18233	30389
375	18279	30335
376	18316	30267
377	18476	30402
378	18518	30343
379	18557	30277
380	18594	30210
381	18631	30141
382	18698	30122
383	18745	30071
384	18781	30002
385	18820	29938
386	18857	29869
387	18895	29804
388	18934	29740
389	19065	29820
390	19120	29780
391	19157	29713
392	19190	29641
393	19226	29571
394	19265	29507
395	19300	29437
396	19335	29369
397	19376	29308
398	19415	29244
399	19455	29183
400	19492	29117
401	19529	29051
402	19566	28986
403	19605	28922
404	19647	28864
405	19687	28803
406	19860	28936
407	20023	29053
408	20076	29009
409	20113	28943
410	20152	28880
411	20314	28992
412	20354	28929
413	20392	28865
414	20430	28799
415	20473	28741
416	20510	28675
417	20546	28608
418	20588	28549
419	20629	28487
420	20670	28427
421	20709	28365
422	20747	28300
423	20788	28240
424	20826	28177
425	20864	28113
426	20905	28053
427	20943	27989
428	20983	27928
429	21023	27868
430	21062	27807
431	21105	27749
432	21231	27802
433	21284	27758
434	21324	27697
435	21362	27633
436	21399	27569
437	21442	27512
438	21477	27446
439	21513	27381
440	21554	27321
441	21590	27257
442	21629	27195
443	21664	27128
444	21701	27066
445	21739	27003
446	21776	26940
447	21814	26878
448	21853	26817
449	21892	26758
450	21927	26691
451	21966	26631
452	22006	26573
453	22041	26508
454	22078	26446
455	22127	26397
456	22166	26337
457	22205	26278
458	22241	26215
459	22279	26153
460	22314	26090
461	22354	26031
462	22390	25969
463	22436	25917
464	22479	25864
465	22521	25807
466	22560	25749
467	22605	25697
468	22643	25636
469	22681	25577
470	22717	25515
471	22754	25454
472	22793	25395
473	22827	25332
474	22867	25274
475	22905	25215
476	23032	25253
477	23090	25215
478	23131	25160
479	23167	25098
480	23204	25038
481	23243	24979
482	23290	24929
483	23335	24878
484	23373	24819
485	23413	24762
486	23450	24702
487	23487	24642
488	23548	24607
489	23588	24551
490	23624	24490
491	23659	24428
492	23697	24370
493	23736	24312
494	23772	24253
495	23836	24220
496	23878	24166
497	23918	24111
